,date,au_price,au_open,au_high,au_low,au_change_percent
0,2019-11-22,"1,465.16","1,474.62","1,475.70","1,462.51",-0.63%
1,2019-11-21,"1,474.51","1,474.62","1,478.90","1,466.09",-0.00%
2,2019-11-20,"1,474.52","1,471.72","1,475.50","1,464.95",0.19%
3,2019-11-19,"1,471.79","1,469.12","1,473.98","1,456.45",0.30%
4,2019-11-18,"1,467.37","1,469.43","1,469.95","1,462.49",-0.13%
5,2019-11-15,"1,469.31","1,463.61","1,474.63","1,461.20",0.39%
6,2019-11-14,"1,463.61","1,458.40","1,467.12","1,457.31",0.36%
7,2019-11-13,"1,458.40","1,455.64","1,460.45","1,445.68",0.19%
8,2019-11-12,"1,455.66","1,461.14","1,466.51","1,448.29",-0.23%
9,2019-11-11,"1,459.06","1,468.70","1,472.99","1,456.33",-0.67%
10,2019-11-08,"1,468.86","1,490.33","1,492.20","1,460.66",-1.44%
11,2019-11-07,"1,490.34","1,484.53","1,494.26","1,483.06",0.40%
12,2019-11-06,"1,484.45","1,506.80","1,507.89","1,479.66",-1.48%
13,2019-11-05,"1,506.81","1,513.09","1,514.78","1,504.53",-0.49%
14,2019-11-04,"1,514.26","1,512.34","1,516.06","1,503.41",0.13%
15,2019-11-01,"1,512.31","1,495.37","1,514.26","1,494.04",1.14%
16,2019-10-31,"1,495.31","1,487.39","1,496.69","1,481.31",0.53%
17,2019-10-30,"1,487.38","1,491.87","1,494.85","1,483.70",-0.30%
18,2019-10-29,"1,491.81","1,504.07","1,508.28","1,490.15",-0.84%
19,2019-10-28,"1,504.51","1,502.86","1,517.98","1,500.71",0.11%
20,2019-10-25,"1,502.80","1,492.34","1,504.06","1,488.13",0.71%
21,2019-10-24,"1,492.19","1,488.89","1,496.21","1,487.83",0.22%
22,2019-10-23,"1,488.89","1,484.21","1,489.27","1,480.92",0.32%
23,2019-10-22,"1,484.21","1,491.64","1,495.28","1,481.78",-0.43%
24,2019-10-21,"1,490.57","1,492.90","1,493.48","1,485.00",-0.16%
25,2019-10-18,"1,492.95","1,490.26","1,497.40","1,483.57",0.19%
26,2019-10-17,"1,490.17","1,482.01","1,491.64","1,477.12",0.55%
27,2019-10-16,"1,482.03","1,491.51","1,498.24","1,477.37",-0.62%
28,2019-10-15,"1,491.31","1,484.67","1,497.12","1,483.85",0.17%
29,2019-10-14,"1,488.74","1,494.09","1,503.22","1,474.10",-0.36%
30,2019-10-11,"1,494.15","1,511.73","1,514.04","1,491.20",-1.18%
31,2019-10-10,"1,511.92","1,508.86","1,517.08","1,499.97",0.20%
32,2019-10-09,"1,508.84","1,492.16","1,509.66","1,487.42",1.12%
33,2019-10-08,"1,492.13","1,508.15","1,509.38","1,488.11",-0.84%
34,2019-10-07,"1,504.74","1,508.44","1,514.57","1,495.94",-0.24%
35,2019-10-04,"1,508.36","1,500.11","1,519.60","1,495.92",0.55%
36,2019-10-03,"1,500.12","1,481.62","1,505.02","1,474.67",1.25%
37,2019-10-02,"1,481.59","1,473.57","1,487.24","1,459.15",0.53%
38,2019-10-01,"1,473.72","1,496.41","1,497.32","1,464.61",-1.55%
39,2019-09-30,"1,496.98","1,506.99","1,507.48","1,487.01",-0.66%
40,2019-09-27,"1,506.86","1,506.59","1,512.39","1,500.41",0.02%
41,2019-09-26,"1,506.58","1,531.79","1,535.18","1,500.61",-1.65%
42,2019-09-25,"1,531.83","1,520.85","1,535.74","1,515.80",0.72%
43,2019-09-24,"1,520.93","1,514.35","1,526.88","1,511.73",0.27%
44,2019-09-23,"1,516.77","1,499.69","1,517.09","1,498.43",1.14%
45,2019-09-20,"1,499.72","1,491.15","1,504.57","1,489.05",0.57%
46,2019-09-19,"1,491.23","1,500.90","1,511.61","1,483.50",-0.64%
47,2019-09-18,"1,500.90","1,498.14","1,507.15","1,493.59",0.19%
48,2019-09-17,"1,498.08","1,506.18","1,512.20","1,495.97",0.63%
49,2019-09-16,"1,488.74","1,497.91","1,509.09","1,485.88",-0.61%
50,2019-09-13,"1,497.92","1,493.07","1,524.28","1,489.35",0.32%
51,2019-09-12,"1,493.12","1,487.07","1,498.53","1,486.96",0.41%
52,2019-09-11,"1,487.05","1,496.37","1,500.98","1,484.70",-0.62%
53,2019-09-10,"1,496.32","1,505.88","1,515.57","1,495.75",-0.71%
54,2019-09-09,"1,507.00","1,518.55","1,527.88","1,502.85",-0.76%
55,2019-09-06,"1,518.50","1,551.32","1,551.75","1,511.59",-2.12%
56,2019-09-05,"1,551.32","1,549.16","1,557.09","1,533.98",0.14%
57,2019-09-04,"1,549.22","1,526.25","1,550.13","1,521.72",1.50%
58,2019-09-03,"1,526.36","1,529.16","1,531.23","1,519.47",0.39%
59,2019-09-02,"1,520.50","1,528.70","1,533.22","1,517.27",-0.55%
60,2019-08-30,"1,528.88","1,538.77","1,550.42","1,519.92",-0.64%
