,date,post_oil
1,2009-11-25,75.35
2,2009-11-27,76.57
3,2009-11-30,76.0
4,2009-12-01,77.77
5,2009-12-02,78.68
6,2009-12-03,76.96
7,2009-12-04,77.76
8,2009-12-07,77.74
9,2009-12-08,76.18
10,2009-12-09,74.93
11,2009-12-10,73.63
12,2009-12-11,70.91
13,2009-12-14,70.07
14,2009-12-15,71.19
15,2009-12-16,71.33
16,2009-12-17,73.34
17,2009-12-18,71.28
18,2009-12-21,71.87
19,2009-12-22,72.74
20,2009-12-23,71.64
21,2009-12-24,73.87
22,2009-12-28,75.15
23,2009-12-29,76.59
24,2009-12-30,76.65
25,2009-12-31,77.62
26,2010-01-04,77.91
27,2010-01-05,79.05
28,2010-01-06,79.27
29,2010-01-07,80.14
30,2010-01-08,80.57
31,2010-01-11,80.06
32,2010-01-12,80.14
33,2010-01-13,79.38
34,2010-01-14,77.57
35,2010-01-15,77.61
36,2010-01-19,76.85
37,2010-01-20,75.18
38,2010-01-21,75.09
39,2010-01-22,74.13
40,2010-01-25,72.73
41,2010-01-26,72.18
42,2010-01-27,72.63
43,2010-01-28,72.75
44,2010-01-29,70.65
45,2010-02-01,71.2
46,2010-02-02,71.58
47,2010-02-03,73.94
48,2010-02-04,75.77
49,2010-02-05,71.3
50,2010-02-08,70.11
51,2010-02-09,69.62
52,2010-02-10,70.4
53,2010-02-11,70.4
54,2010-02-12,72.35
55,2010-02-16,71.49
56,2010-02-17,74.82
57,2010-02-18,74.89
58,2010-02-19,76.61
59,2010-02-22,76.88
60,2010-02-23,76.95
61,2010-02-24,76.44
62,2010-02-25,77.0
63,2010-02-26,74.38
64,2010-03-01,76.36
65,2010-03-02,76.07
66,2010-03-03,77.5
67,2010-03-04,78.66
68,2010-03-05,77.88
69,2010-03-08,79.2
70,2010-03-09,78.94
71,2010-03-10,78.77
72,2010-03-11,80.29
73,2010-03-12,79.44
74,2010-03-15,79.38
75,2010-03-16,77.08
76,2010-03-17,79.45
77,2010-03-18,80.28
78,2010-03-19,80.09
79,2010-03-22,78.37
80,2010-03-23,78.09
81,2010-03-24,79.17
82,2010-03-25,78.03
83,2010-03-26,78.64
84,2010-03-29,77.98
85,2010-03-30,79.89
86,2010-03-31,79.46
87,2010-04-01,80.37
88,2010-04-05,82.63
89,2010-04-06,84.48
90,2010-04-07,85.05
91,2010-04-08,84.49
92,2010-04-09,82.63
93,2010-04-12,82.77
94,2010-04-13,85.21
95,2010-04-14,83.44
96,2010-04-15,85.81
97,2010-04-16,86.9
98,2010-04-19,84.81
99,2010-04-20,83.09
100,2010-04-21,84.73
101,2010-04-22,84.55
102,2010-04-23,84.58
103,2010-04-26,86.09
104,2010-04-27,86.72
105,2010-04-28,85.59
106,2010-04-29,84.59
107,2010-04-30,86.82
108,2010-05-03,86.19
109,2010-05-04,88.09
110,2010-05-05,85.39
111,2010-05-06,82.31
112,2010-05-07,80.21
113,2010-05-10,76.48
114,2010-05-11,78.08
115,2010-05-12,79.0
116,2010-05-13,78.7
117,2010-05-14,79.41
118,2010-05-17,76.43
119,2010-05-18,73.87
120,2010-05-19,75.12
121,2010-05-20,71.86
122,2010-05-21,69.56
123,2010-05-24,70.45
124,2010-05-25,69.62
125,2010-05-26,67.18
126,2010-05-27,70.59
127,2010-05-28,73.56
128,2010-06-01,73.0
129,2010-06-02,73.08
130,2010-06-03,72.78
131,2010-06-04,73.12
132,2010-06-07,71.84
133,2010-06-08,71.09
134,2010-06-09,71.43
135,2010-06-10,73.68
136,2010-06-11,74.33
137,2010-06-14,73.28
138,2010-06-15,75.11
139,2010-06-16,75.29
140,2010-06-17,76.12
141,2010-06-18,77.52
142,2010-06-21,77.05
143,2010-06-22,78.53
144,2010-06-23,78.08
145,2010-06-24,75.22
146,2010-06-25,75.17
147,2010-06-28,76.21
148,2010-06-29,76.66
149,2010-06-30,74.21
150,2010-07-01,74.94
151,2010-07-02,71.73
152,2010-07-06,71.75
153,2010-07-07,73.08
154,2010-07-08,72.97
155,2010-07-09,74.56
156,2010-07-12,75.2
157,2010-07-13,74.35
158,2010-07-14,76.45
159,2010-07-15,76.63
160,2010-07-16,75.52
161,2010-07-19,75.55
162,2010-07-20,76.29
163,2010-07-21,76.31
164,2010-07-22,75.75
165,2010-07-23,77.59
166,2010-07-26,77.27
167,2010-07-27,77.9
168,2010-07-28,75.52
169,2010-07-29,76.66
170,2010-07-30,78.6
171,2010-08-02,77.5
172,2010-08-03,81.93
173,2010-08-04,83.6
174,2010-08-05,83.76
175,2010-08-06,82.9
176,2010-08-09,81.28
177,2010-08-10,81.54
178,2010-08-11,79.89
179,2010-08-12,77.83
180,2010-08-13,76.63
181,2010-08-16,75.14
182,2010-08-17,74.56
183,2010-08-18,76.74
184,2010-08-19,75.1
185,2010-08-20,74.84
186,2010-08-23,73.48
187,2010-08-24,73.08
188,2010-08-25,70.61
189,2010-08-26,70.74
190,2010-08-27,74.5
191,2010-08-30,75.16
192,2010-08-31,76.05
193,2010-09-01,75.51
194,2010-09-02,75.53
195,2010-09-03,74.93
196,2010-09-07,75.03
197,2010-09-08,75.78
198,2010-09-09,77.48
199,2010-09-10,77.87
200,2010-09-13,77.54
201,2010-09-14,78.52
202,2010-09-15,78.89
203,2010-09-16,78.46
204,2010-09-17,78.89
205,2010-09-20,77.43
206,2010-09-21,79.42
207,2010-09-22,78.76
208,2010-09-23,77.29
209,2010-09-24,77.69
210,2010-09-27,78.73
211,2010-09-28,77.71
212,2010-09-29,79.14
213,2010-09-30,78.79
214,2010-10-01,80.77
215,2010-10-04,82.69
216,2010-10-05,83.42
217,2010-10-06,83.35
218,2010-10-07,85.01
219,2010-10-08,83.67
220,2010-10-11,83.88
221,2010-10-12,83.08
222,2010-10-13,82.99
223,2010-10-14,84.01
224,2010-10-15,83.55
225,2010-10-18,81.94
226,2010-10-19,82.3
227,2010-10-20,81.12
228,2010-10-21,81.68
229,2010-10-22,81.28
230,2010-10-25,80.75
231,2010-10-26,81.91
232,2010-10-27,82.62
233,2010-10-28,81.27
234,2010-10-29,82.97
235,2010-11-01,82.47
236,2010-11-02,84.06
237,2010-11-03,84.71
238,2010-11-04,85.33
239,2010-11-05,86.83
240,2010-11-08,87.05
241,2010-11-09,87.15
242,2010-11-10,87.93
243,2010-11-11,87.92
244,2010-11-12,88.08
245,2010-11-15,86.07
246,2010-11-16,85.49
247,2010-11-17,83.98
248,2010-11-18,83.36
249,2010-11-19,83.7
250,2010-11-22,83.17
251,2010-11-23,82.34
252,2010-11-24,82.37
253,2010-11-26,84.53
254,2010-11-29,84.78
255,2010-11-30,85.9
256,2010-12-01,86.02
257,2010-12-02,88.56
258,2010-12-03,89.37
259,2010-12-06,90.65
260,2010-12-07,91.25
261,2010-12-08,90.78
262,2010-12-09,89.74
263,2010-12-10,89.93
264,2010-12-13,89.54
265,2010-12-14,90.4
266,2010-12-15,90.63
267,2010-12-16,91.33
268,2010-12-17,91.09
269,2010-12-20,91.11
270,2010-12-21,91.31
271,2010-12-22,93.11
272,2010-12-23,93.55
273,2010-12-27,93.63
274,2010-12-28,93.08
275,2010-12-29,93.52
276,2010-12-30,93.52
277,2010-12-31,92.5
278,2011-01-03,93.23
279,2011-01-04,95.82
280,2011-01-05,93.52
281,2011-01-06,95.07
282,2011-01-07,94.95
283,2011-01-10,94.25
284,2011-01-11,95.05
285,2011-01-12,96.8
286,2011-01-13,97.86
287,2011-01-14,97.86
288,2011-01-18,97.86
289,2011-01-19,97.83
290,2011-01-20,98.42
291,2011-01-21,96.27
292,2011-01-24,96.84
293,2011-01-25,96.76
294,2011-01-26,96.76
