,date,raw_oil
1,2009-11-25,74.88
2,2009-11-27,77.25
3,2009-11-30,75.95
4,2009-12-01,77.19
5,2009-12-02,78.39
6,2009-12-03,76.62
7,2009-12-04,76.42
8,2009-12-07,75.41
9,2009-12-08,73.89
10,2009-12-09,72.59
11,2009-12-10,70.67
12,2009-12-11,70.54
13,2009-12-14,69.86
14,2009-12-15,69.48
15,2009-12-16,70.62
16,2009-12-17,72.64
17,2009-12-18,72.58
18,2009-12-21,73.3
19,2009-12-22,72.71
20,2009-12-23,73.48
21,2009-12-24,76.03
22,2009-12-28,76.83
23,2009-12-29,78.67
24,2009-12-30,78.87
25,2009-12-31,79.35
26,2010-01-04,79.39
27,2010-01-05,81.52
28,2010-01-06,81.74
29,2010-01-07,83.12
30,2010-01-08,82.6
31,2010-01-11,82.74
32,2010-01-12,82.54
33,2010-01-13,80.79
34,2010-01-14,79.66
35,2010-01-15,79.35
36,2010-01-19,77.96
37,2010-01-20,78.98
38,2010-01-21,77.42
39,2010-01-22,75.84
40,2010-01-25,74.25
41,2010-01-26,74.9
42,2010-01-27,74.67
43,2010-01-28,73.64
44,2010-01-29,73.62
45,2010-02-01,72.85
46,2010-02-02,74.41
47,2010-02-03,77.21
48,2010-02-04,76.96
49,2010-02-05,73.13
50,2010-02-08,71.15
51,2010-02-09,71.87
52,2010-02-10,73.71
53,2010-02-11,74.48
54,2010-02-12,75.23
55,2010-02-16,74.11
56,2010-02-17,76.98
57,2010-02-18,77.27
58,2010-02-19,78.97
59,2010-02-22,79.77
60,2010-02-23,80.04
61,2010-02-24,78.61
62,2010-02-25,79.75
63,2010-02-26,77.99
64,2010-03-01,79.72
65,2010-03-02,78.71
66,2010-03-03,79.62
67,2010-03-04,80.91
68,2010-03-05,80.21
69,2010-03-08,81.5
70,2010-03-09,81.85
71,2010-03-10,81.5
72,2010-03-11,82.07
73,2010-03-12,82.1
74,2010-03-15,81.26
75,2010-03-16,79.79
76,2010-03-17,81.75
77,2010-03-18,82.93
78,2010-03-19,82.16
79,2010-03-22,80.58
80,2010-03-23,81.26
81,2010-03-24,81.68
82,2010-03-25,80.29
83,2010-03-26,80.25
84,2010-03-29,79.75
85,2010-03-30,81.92
86,2010-03-31,82.14
87,2010-04-01,83.45
88,2010-04-05,84.53
89,2010-04-06,86.36
